time,1,2,3,4,5,6,7,8,9
118,10.1658766,8.519501432,7.765314556,6.330253499,4.380105946,3.092011428,2.391952255,1.745462802,1.097511018
119,9.844232498,8.308594386,7.384013582,5.487836571,3.724416945,2.613619824,2.036095154,1.568071501,0.911836494
120,9.436342888,8.306579181,7.356002993,5.434475947,3.553691897,2.303868247,1.710255989,1.313600776,0.618245587
121,9.639404425,8.393685893,7.749956186,6.26551346,3.832651784,2.663342825,2.083391524,1.560696569,0.944150961
122,10.15814724,8.59189362,7.974268771,6.974115699,3.909046551,2.266420478,1.470738411,0.970452403,0.494876732
123,9.141895734,8.223503162,7.729877643,6.363842049,2.949336196,1.25195395,0.54661137,0.18173257,0.034241266
124,9.59195988,8.245027985,7.600990911,5.457818518,2.149599174,0.771904184,0.309065504,0.057530309,-0.112279827
125,9.80851627,8.473465444,7.960027418,6.47551464,3.343107127,1.433042971,0.3501888,-0.047016491,-0.287908483
126,9.698776146,8.297108612,7.578277088,5.517142922,2.777627805,1.133292263,0.219554118,-0.145394624,-0.380454626
127,9.800543909,8.294820267,7.674422277,6.29648516,3.235062176,1.085511991,0.324021315,-0.057414977,-0.249355095
128,9.725561294,8.077528089,7.529394042,6.438394067,3.341215116,1.09573008,0.35898528,0.098921448,-0.011596911
129,10.12264248,8.395189482,7.735161747,7.143432434,5.030701621,2.577786821,1.446756235,0.840595557,0.410219368
130,9.601677344,8.101559497,7.505501717,6.846727139,4.80478606,2.52763644,1.258250466,0.581834743,0.214684069
131,9.908943572,8.272778434,7.64286865,6.940069881,5.057517754,2.863009904,1.571470175,0.804608943,0.20651371
132,10.1195612,8.396678062,7.714571026,6.861783943,5.195534493,3.113671437,1.439050344,0.665141711,0.275442753
133,9.857378438,8.275696626,7.608747564,6.621299078,4.292403293,1.798035763,0.612321407,0.109825096,-0.253454626
134,9.950009053,8.383344238,7.727327318,6.81757969,4.870565278,3.069664656,1.584844418,0.48170249,-0.116767979
135,10.04951894,8.347390806,7.578902634,6.451671303,4.447982433,2.75463587,1.334149013,0.59442636,0.154424174
136,9.966866825,8.33353951,7.526860242,5.545871281,3.396866509,1.913012617,0.792850341,0.276867176,-0.117981565
137,10.15576975,8.340396438,7.561131218,6.379307628,4.561587444,2.794360445,1.338830717,0.429948413,-0.150062977
138,9.818604141,8.333310463,7.657042489,6.455391941,3.709907515,2.233586997,1.117891163,0.300411474,-0.198115842
139,9.681769776,8.330598457,7.605516396,5.735025518,2.77816501,1.497265908,0.692471106,0.053761977,-0.373637033
140,9.499093358,8.226379604,7.40401313,5.486695259,2.991972514,1.630988697,0.787968131,0.033560237,-0.397311919
141,9.684083254,8.356332207,7.70544786,6.328620574,3.572198758,1.820135528,0.808619724,-0.018547713,-0.448706334
142,9.575286447,8.148099498,7.499029868,6.126217979,3.210605643,1.59960921,0.75695249,0.135218422,-0.446163129
143,9.391864742,8.120003435,7.540376885,6.321003132,3.561194408,1.74878307,1.001611076,0.412707518,-0.237436704
144,9.385761459,8.128249446,7.689362941,6.907500967,4.158229261,2.143608746,1.24228015,0.477108146,-0.365872386
145,9.613656892,8.207432948,7.684835981,6.494162739,4.23148187,2.817908414,1.700477158,0.491509651,-0.409430671
146,9.386642898,8.157198537,7.518850593,5.543772701,3.13482757,2.005932076,1.467767558,0.84479731,0.15248182
147,9.406077151,8.014356691,7.130598152,5.220953643,3.332090823,2.275729195,1.632870924,0.980601131,0.18404421
148,9.995201443,8.581255237,7.784795423,6.52371461,4.510724933,2.954484503,1.798584327,0.981346128,0.34590185
149,9.735655094,8.206099675,7.484144626,5.942760496,3.097172204,1.623041778,1.050867997,0.511629985,-0.24113168
150,9.613863262,8.170714558,7.586722898,6.201209708,3.208222733,1.70500973,1.006596974,0.514014231,-0.108353277
151,9.696758382,8.366323709,7.69425121,6.398380611,3.52915038,1.670273947,0.865456262,0.151846591,-0.425419233
152,9.791237591,8.417792701,7.846392983,6.712337813,3.324669099,1.475805591,0.79864392,0.300739711,-0.203941354
153,9.73825924,8.318898497,7.650640324,5.997883537,3.448176019,1.816001318,1.110480742,0.593788528,0.100724901
154,9.601621767,8.297074612,7.645576008,6.079995857,3.02603317,1.554223424,0.867612893,0.388112954,-0.013175528
155,9.85689473,8.512797933,7.834907175,7.010196342,5.224118999,3.026535665,1.321575044,0.606489772,0.259291435
156,9.807726734,8.514273185,7.857267198,6.703664553,4.395699419,2.207988435,1.021622186,0.410469122,-0.017523855
157,10.27328687,8.709936241,8.012687891,7.032973634,4.473719068,2.27390847,1.246553294,0.685908348,0.123737534
158,9.71390611,8.422676053,7.676548522,6.188152158,4.170954656,2.611441595,1.772878102,1.20057538,0.670525012
159,9.878434096,8.46590137,7.769812183,5.734361182,3.444549352,2.129796292,1.498154773,0.97721202,0.336431862
160,9.671276975,8.525561937,7.921436195,6.756299222,3.962512492,1.867208984,1.041680894,0.475834612,-0.148424853
161,9.325666823,8.347401891,7.520439321,5.015840246,2.270359978,1.211400326,0.705076785,0.192056833,-0.297284055
162,9.466106916,8.22893499,6.902786024,4.692851194,2.865403348,1.714222774,1.207212633,0.919783766,0.532648751
163,9.709700678,8.227826503,6.943593128,4.653059282,2.860008606,1.703094456,1.015251742,0.42906722,-0.263641955
164,9.397302672,8.134977846,7.338650435,5.45505434,3.187851328,1.931486244,0.957807959,0.253586994,-0.230936535
165,9.663806222,8.213208445,7.423855526,5.925800498,3.755123215,2.188933182,1.167181318,0.380131204,-0.172388576
166,9.614589623,8.184323086,7.568334768,6.55571878,4.748698487,2.629890297,1.156254393,0.199089157,-0.414848396
167,9.632331989,8.114064776,7.301836533,5.517817564,3.422268895,2.29869225,1.654857846,1.093351816,0.48057686
168,9.854876908,8.13075501,7.379634984,6.217172824,4.309258116,2.557562174,1.51278717,0.773232483,0.153152036
169,9.635763481,8.089112611,7.502220593,6.246581459,3.861765378,2.287874872,1.401402416,0.752027047,0.171712528
170,9.77041465,8.115176712,7.361224629,6.072672815,4.229637258,2.598864502,1.425164511,0.716723519,0.165694363
171,9.522184846,8.106731776,7.518555894,6.803297893,5.266614759,3.722648889,2.395183419,1.147860078,0.268142924
172,9.183857481,7.979905153,7.504400725,6.905736107,5.373460541,3.520354102,2.243061447,1.283134785,0.472150523
173,9.415108886,8.208222351,7.597150404,6.79500804,5.001043614,2.977962346,1.509046417,0.39023141,-0.251916766
174,9.606914323,8.359996092,7.784660317,7.126007974,5.398980394,3.22909077,1.746569649,0.481243866,-0.202754494
175,9.373772903,8.265393172,7.797957398,7.335740872,5.929884113,3.47364194,1.732735229,0.493219921,-0.108048723
176,9.600421167,8.404694133,7.974169763,7.230782121,5.099731137,2.731049566,1.313573487,0.593702541,0.146163554
177,9.301727251,8.256259999,7.827064095,7.197332602,5.34344786,3.013998664,1.901317463,1.325278184,0.701890084
178,9.395353632,8.320961568,7.899586237,7.169601253,4.855957777,2.902735038,2.071655879,1.436569724,0.831954677
179,9.338717967,8.181776577,7.653855903,6.953287981,5.326056131,3.203321281,2.042458074,1.266245786,0.445248006
180,9.169086972,8.189019837,7.736233741,7.058972115,5.20056184,2.903751227,1.72305331,0.780561933,0.017247647
181,9.152227346,8.171228108,7.428849278,5.653295339,2.723440228,1.442006746,0.892806692,0.478649006,0.07926303
182,9.152509111,8.205100389,7.195295724,4.662079989,2.417231481,1.445097238,0.87276834,0.360675227,-0.162125871
183,9.506061872,8.237202503,7.444926172,5.005480123,2.428829426,1.449117259,0.755370179,0.147529526,-0.438355448
184,9.702429999,8.242274265,7.740404792,6.507721213,3.467086249,1.749218854,0.845400364,0.346319725,-0.13409515
185,10.08407612,8.343309306,7.741093336,6.384797264,2.785589844,1.219503518,0.637296228,0.30312316,-0.056484151
186,9.735468231,8.249041907,7.657513873,6.063639392,3.523322786,1.980601757,1.267007286,0.828187557,0.32160271
187,9.777229008,8.327881929,7.710953533,6.379670478,3.852548108,2.29593016,1.429630053,0.923884185,0.541181373
188,9.969729249,8.679183255,8.098864781,5.922750859,3.083849777,1.858217815,1.237199696,0.662660002,0.174875865
189,11.28275609,9.73229738,8.441986488,6.092499092,4.05401392,2.555471915,1.353752417,0.322363654,-0.194366626
190,10.94574516,9.022678407,8.057128393,6.668867353,3.820176952,1.844928369,0.854583965,0.154661944,-0.299780772
191,10.75060338,8.863312433,7.93739229,6.407395044,4.368574834,2.624718653,1.505154536,0.897141815,0.551717163
192,9.487279682,8.211956057,7.576822859,5.969673989,3.652737529,1.920655339,1.079705376,0.701847723,0.345900001
193,9.91978181,8.448234044,7.819116292,6.841338469,4.248596197,1.747347421,0.760066671,0.442737984,0.33055788
194,10.15478427,8.488492111,7.594881951,4.796399531,2.404077532,1.411599428,0.770039918,0.320923166,-0.024759104
195,10.2155576,8.486989802,7.690447021,5.908234755,3.188756001,1.588238482,0.641006857,0.126255923,-0.168637743
196,10.07129396,8.488836696,7.823811197,6.530464728,3.845558773,1.808403134,0.720818346,-0.091535884,-0.559538487
197,10.81750121,8.718764084,7.840895994,6.784904849,3.99718081,1.96179266,0.957283805,0.345413825,-0.048566915
198,10.43304667,8.550878277,7.771563097,6.958531635,5.095109712,2.469699508,1.267414623,0.399103164,-0.188616332
199,10.1482852,8.487369139,7.661911744,6.366684869,3.751635871,1.756848831,0.771867708,0.220150882,-0.172174826
200,9.884461315,8.309085709,7.399831968,5.185343728,2.548926311,1.314548708,0.625310483,0.123134934,-0.285365444
201,9.93733047,8.461250528,7.838322143,6.391448965,3.040136992,1.476032654,0.818966594,0.37924254,-0.07363034
202,10.23459006,8.549120731,7.784425597,6.702571453,3.535949448,1.468721174,0.486449213,-0.010463608,-0.379206164
203,10.31054137,8.696451925,7.936856362,7.260800164,5.075059561,2.272901294,1.031580208,0.249018519,-0.122296965
204,10.65578043,8.69724587,7.822171974,6.598438056,4.017966137,2.101221492,0.897686402,0.211398044,-0.208527921
205,9.97940597,8.372383183,7.77842136,6.573887106,3.572703943,1.701784853,0.889941653,0.32190997,-0.015595312
206,10.00659951,8.426422213,7.798073341,6.568843854,3.332198232,1.754834567,0.99913613,0.376191875,-0.079331272
207,9.970513453,8.440405647,7.865107595,7.091460374,3.574929007,1.867894696,1.278535123,0.727537995,0.274787581
208,9.690182453,8.221923988,7.579721847,6.047542322,3.369493149,2.036558198,1.550805042,0.981172713,0.407642589
209,9.826939023,8.208909986,7.555014337,6.13931076,3.37735715,2.014203559,1.45151048,0.884299995,0.21707168
210,9.872973982,8.132957213,7.4255758,6.415326624,4.395832756,2.62811756,1.66591824,0.869852242,0.16718875
211,9.907217184,8.255484696,7.399242508,6.201087255,4.650863753,3.185662136,1.911375219,0.903564852,0.142190174
212,9.827147029,8.296109156,7.535685914,6.655010793,5.246851887,3.44586282,2.026312363,0.763654266,0.06937162
213,9.02010498,7.960639987,7.287847652,6.353632092,4.836365902,3.149503445,2.087866842,1.323165749,0.67692017
214,9.139181664,8.068591761,7.445605008,6.725908638,5.44201985,3.78552182,2.381694461,1.387684157,0.421538359
215,9.965213926,8.522861975,7.840469014,7.114930844,5.508932382,3.549801011,1.914995151,1.002271261,0.227570006
216,9.679267862,8.384310317,7.738402134,6.912973436,5.206150328,3.133136496,1.700439712,0.745665619,0.121567523
217,9.586920361,8.218299512,7.603579903,6.72403671,4.715606216,3.105246154,1.698876091,0.689735253,-0.045589682
218,9.245168377,7.88866972,7.235743292,6.332931135,4.53859519,2.888749703,1.575022841,0.694222954,0.017014018
219,9.591479444,8.179315258,7.378825447,5.832406631,3.734642836,2.335314538,1.352680594,0.44617136,-0.237200567
220,9.526337378,8.175503989,7.368119998,5.67702989,3.803479225,2.269709694,1.050286526,0.193792887,-0.373758413
221,9.666226475,8.324399761,7.69524073,6.090112652,4.084487652,2.64063305,1.193280219,0.003571991,-0.610230987
222,9.710330539,8.288314522,7.674423712,6.227507244,3.774155249,1.992306391,0.822921383,0.24190324,-0.346773553
223,10.02517565,8.559227434,7.800242088,6.426802285,4.101623671,1.855571563,0.576653005,0.048803571,-0.359347486
224,10.05158934,8.568847151,7.848700104,6.167138088,3.803570592,1.758932045,0.527781501,-0.156628502,-0.595911402
225,9.967587999,8.523300798,7.850879883,6.410994685,4.20712075,1.897348416,0.549782795,-0.196244435,-0.660934279
226,9.896955372,8.444700131,7.495554042,5.955913156,3.93356857,1.96730075,0.927688696,0.266630193,-0.378313373
227,9.782340313,8.371938961,7.435270172,5.981720677,3.795361181,1.966250715,1.05118459,0.413670723,-0.285250491
228,9.946600416,8.392248708,7.373983684,5.849182285,3.925921441,2.151533234,1.309365546,0.577546882,-0.118659635
229,9.939764789,8.513671129,7.713725029,5.996990531,3.548764033,2.088440893,1.287862552,0.709367691,0.095887635
230,9.906149755,8.589981343,7.921050448,6.580850797,4.134625836,2.211823904,1.250926685,0.738099767,0.24946294
231,9.943627913,8.595002848,8.010332338,7.315713555,5.083379122,2.812875162,1.241713264,0.546677483,0.104182667
232,9.997712584,8.492985032,7.783756158,7.168573545,5.796911025,3.990219449,2.389920169,0.919686791,0.103458155
233,10.01906439,8.438011897,7.67692162,6.710702389,5.236954127,3.607931534,1.992499962,0.734003374,-0.084604708
234,9.976914538,8.380049678,7.624184854,6.358231746,4.323010907,2.864481044,1.504314432,0.334268919,-0.286276411
235,9.650360047,8.253333511,7.440138503,5.967303873,3.514345994,1.927298586,0.661861041,-0.097778114,-0.46219502
236,9.466505264,8.1967515,7.468369098,6.029878813,3.631323159,1.957693089,0.725073958,-0.034959987,-0.447284634
237,9.379423841,8.037239132,7.2900188,6.231544589,4.443157803,2.612247234,1.38964615,0.365632461,-0.422924046
238,10.16960709,8.595630135,7.838546008,6.773936397,3.873761409,1.530409741,0.755646964,0.438414684,0.082103559
239,10.49066391,8.731584547,7.816739209,6.470637715,3.612608807,1.559003899,0.764307693,0.32350617,-0.049523654
240,10.44048243,8.618192094,7.699291474,5.905380339,2.933835371,1.348659543,0.60546805,0.271964539,-0.106250698
241,9.971731919,8.449063024,7.741809631,6.183757014,3.403669046,1.718534235,0.889321768,0.522990135,0.198741313
242,10.11942012,8.411335541,7.590820397,6.235100066,3.854627424,2.069290887,1.346882441,0.79453156,0.237927156
243,9.820745111,8.265541136,7.418006496,5.867395862,3.422303463,2.025635927,1.350943102,0.676159925,0.016103934
244,9.734905762,8.188696662,7.311501065,5.288073801,3.184587317,2.026011682,1.2824125,0.597531442,-0.013185195
245,9.835424048,8.212269848,7.235014008,4.818552582,2.432944186,1.50985303,0.84297967,0.215766421,-0.246818336
246,9.871848687,8.236401254,7.418458666,4.84600924,2.062490443,1.151024747,0.529425163,-0.023455308,-0.42846489
247,9.949362249,8.280850792,7.516359737,5.916098825,2.811997904,1.260370488,0.63191119,0.082472191,-0.37632172
248,10.16823455,8.516827578,7.662259161,5.325511546,2.111909608,0.818965104,0.099844767,-0.388186589,-0.809053374
249,10.09718528,8.652401441,7.94071301,5.301289528,2.014659149,1.129788582,0.503804224,-0.030851495,-0.41213718
250,10.09840973,8.661280015,7.893567824,5.080449356,2.076286342,1.144135566,0.613530685,0.123435212,-0.304917497
251,10.10214451,8.681959323,8.095412764,5.981165538,2.581782884,1.223156975,0.576795892,0.044428034,-0.424298021
252,10.05837817,8.627533224,8.095577752,6.603767148,3.43035175,1.683342549,0.858059761,0.277538324,-0.272046252
253,9.85917083,8.531487833,7.933963633,6.492222849,3.994354254,2.071050988,0.870789519,0.038216225,-0.450211894
254,10.05789877,8.492757533,7.78318016,6.718996087,4.462580815,2.321203708,0.999890367,0.230713631,-0.217266079
255,10.01015566,8.55202074,7.778094829,6.820016077,4.991756007,2.503829055,0.721178665,0.14856983,-0.167578952
256,9.94012039,8.474828753,7.744029466,6.944400427,5.375577049,3.024140423,1.018987108,0.353722796,-0.058055635
257,9.804874349,8.510534341,7.896163511,7.184790576,5.305257558,3.319632365,1.501304553,0.757056347,0.249957752
258,9.862866416,8.577490225,7.983681451,7.288897685,5.271666214,2.848525872,1.234583118,0.699824697,0.347240338
259,9.922864303,8.58030464,7.878389398,7.136345798,4.818323611,2.149841911,1.020466407,0.527632419,0.097313865
260,9.754404634,8.500313588,7.805394358,7.190805804,5.107739361,2.420204167,1.242245238,0.685124266,0.270756256
261,9.576172797,8.399961149,7.748664216,6.967617377,4.687040394,2.453529473,1.307388851,0.701415913,0.300945188
262,9.61717926,8.217679203,7.549922625,6.120707948,3.559857574,1.954563846,0.999891697,0.471089965,0.041966225
263,9.712098023,8.125758701,7.461785275,6.297672921,3.752315924,2.140651534,1.135883631,0.551900924,0.101568808
264,9.825713196,8.22245092,7.430476587,5.903390817,3.650983728,1.977145814,0.717349005,0.069787632,-0.29026749
265,9.920490279,8.368728891,7.457522239,5.594308553,3.341845099,1.928974249,0.453498359,-0.24103373,-0.546532366
266,9.99340372,8.445758131,7.65449369,6.027485889,3.581874931,1.884576846,0.317431772,-0.272600644,-0.55144428
267,10.18337403,8.568866622,7.82343785,6.774618667,4.476072374,2.247128952,0.744375452,-0.049407776,-0.483016397
268,10.25343521,8.57995426,7.727262168,6.386898848,4.019850014,1.600209542,0.433202583,-0.146338552,-0.523635044
269,10.28932881,8.594130547,7.443155744,5.565264449,3.216513945,1.449886378,0.506890413,-0.12191138,-0.459982038
270,10.12149881,8.482701991,7.418855557,5.772314061,3.017983772,1.027463064,0.337106268,-0.101180701,-0.418082977
271,9.793844541,8.136726368,7.281454785,5.88596058,3.283715181,1.223812713,0.426232276,-0.063318506,-0.392296333
272,9.597041092,8.076589498,7.366961712,5.818560645,2.75368276,1.281813246,0.614591838,0.200377693,-0.139920111
273,9.552134817,8.182281584,7.520085922,6.512075043,3.549684802,1.726144198,0.907725095,0.463570058,0.108710691
274,9.579427148,8.203146238,7.530948346,6.66136883,4.009665301,1.803170604,0.937534373,0.409608267,0.015392778
275,9.741793801,8.353120687,7.691634106,7.04592931,4.914022984,2.162018543,1.084396465,0.438967457,0.014299318
276,9.688603248,8.351616626,7.699008801,7.097013303,4.976851728,2.286928245,1.222705783,0.623625052,0.134588987
277,9.702648785,8.392574873,7.788919209,7.236287811,5.03213951,2.648695676,1.330331914,0.407287165,-0.028844118
278,9.527953536,8.325740844,7.748667462,7.115407954,5.249193792,2.626254561,1.014438253,0.244925726,-0.180820948
279,9.818025243,8.366208586,7.757944145,6.750824733,3.837295187,1.504233388,0.590086193,0.093854457,-0.295635565
280,9.817822551,8.397919075,7.769333196,6.622035333,3.714034929,1.540115478,0.475568213,-0.006563602,-0.405173626
281,9.7866695,8.346554014,7.669948152,5.953928939,2.896663918,1.094222949,0.389401767,0.039090743,-0.345697559
282,9.656197804,8.276254799,7.545918503,6.109450842,3.121964734,1.146380891,0.517813982,0.077302243,-0.399531035
283,9.534949792,8.226447122,7.451283243,6.009473529,3.026006727,1.035074523,0.567734358,0.348613509,-0.078493856
284,9.755293461,8.361539855,7.539806364,6.032908751,3.45032203,1.396310228,0.742397931,0.524732897,0.093489558
285,9.566993067,8.254901153,7.494683254,5.727827848,2.636721761,1.142446063,0.728475498,0.479895833,0.198814736
286,9.550065773,8.241324102,7.506572406,6.125410646,3.654155439,1.88265094,1.163175458,0.849989136,0.644567701
287,9.29396456,8.071450249,7.285345634,5.481751122,3.038234645,1.655013614,1.121409102,0.650546646,0.332760805
288,9.587603508,8.193045331,7.376365314,5.829779386,3.581093675,1.79224349,1.093491294,0.593870915,0.173916838
289,9.640325913,8.223482243,7.100481677,4.859983619,2.947100224,1.586470504,0.888331323,0.318894267,-0.200239688
290,9.58189827,8.219633671,6.931046959,4.342722996,2.689748032,1.707449869,1.02476619,0.341383143,-0.241245181
291,9.314451352,8.084843641,6.534532154,3.891495493,2.597932971,1.684847812,0.981462193,0.229165355,-0.373612324
292,9.158451778,8.014863243,6.464660329,4.148648718,2.595431736,1.642342854,0.925989344,0.133564851,-0.472115456
293,9.329575878,8.142830781,7.311477096,5.375063645,3.111735489,1.841323804,0.884970986,-0.086929308,-0.701041125
294,9.363970224,8.159131397,7.478990314,6.061851383,3.523207944,1.941667207,0.845048048,-0.257052542,-0.896416333
295,9.532289626,8.183210957,7.495821486,6.301463074,4.449435728,2.59184397,1.379516814,0.196656414,-0.527719849
296,9.618776463,8.188198084,7.535795588,6.482714341,4.366624176,2.259757183,1.17732962,0.2540137,-0.331464975
